E2F4	Exp1	Exp1
4.075694	4.613436	0.001
3.041105	2.995615	0.001
4.818418	5.024501	0.001
3.281395	3.780002	0.001
2.431632	4.022816	0.001
3.085887	2.726594	0.001
2.464665	3.281395	0.001
2.949299	2.672756	0.001
4.413399	4.761648	0.001
2.877977	2.972569	0.001
4.880213	5.214165	0.001
4.708991	4.818418	0.001
5.024501	4.247734	0.001
3.018456	2.853634	0.001
4.659762	4.378096	0.001
3.387809	3.494222	0.001
3.873595	3.997038	0.001
4.102862	5.111599	0.001
3.780002	3.580172	0.001
1.000000	1.000000	0.001
2.925790	2.013969	0.001
1.435044	2.247691	0.001
3.260006	2.587840	0.001
3.472882	2.162182	0.001
2.247691	2.431632	0.001
3.451580	3.409053	0.001
3.494222	3.921984	0.001
4.217383	4.569601	0.001
3.173759	3.734513	0.001
2.115856	2.616760	0.001
3.997038	4.708991	0.001
3.689730	3.260006	0.001
4.569601	3.826318	0.001
3.151972	4.130569	0.001
4.022816	4.278898	0.001
1.561453	2.902023	0.001
4.310953	3.712040	0.001
3.130072	3.897640	0.001
2.672756	2.527884	0.001
2.616760	2.949299	0.001
2.752802	3.451580	0.001
5.340574	5.775618	0.001
4.278898	5.509088	0.001
3.623646	3.971658	0.001
2.726594	2.558235	0.001
3.645546	3.238558	0.001
5.214165	5.340574	0.001
3.409053	2.828969	0.001
4.247734	4.450029	0.001
4.488143	4.217383	0.001
4.948299	4.310953	0.001
2.397522	3.645546	0.001
1.827319	2.699924	0.001
4.527927	3.302736	0.001
4.049024	3.173759	0.001
3.324038	3.018456	0.001
3.946649	3.803049	0.001
2.496720	3.041105	0.001
4.450029	3.472882	0.001
4.613436	4.527927	0.001
1.957200	2.287474	0.001
3.734513	3.946649	0.001
1.266530	3.345311	0.001
3.971658	3.667570	0.001
2.013969	1.957200	0.001
5.509088	4.659762	0.001
1.751117	2.206017	0.001
3.195446	3.130072	0.001
3.063577	2.464665	0.001
2.527884	3.063577	0.001
2.853634	3.195446	0.001
2.828969	2.877977	0.001
2.645049	1.435044	0.001
3.849828	3.623646	0.001
3.601858	3.085887	0.001
4.761648	4.880213	0.001
2.287474	3.217042	0.001
2.778580	2.496720	0.001
2.902023	2.778580	0.001
3.580172	4.413399	0.001
2.362219	2.115856	0.001
3.430307	3.849828	0.001
3.217042	2.397522	0.001
2.325588	1.664019	0.001
3.108048	2.645049	0.001
3.757162	3.151972	0.001
5.775618	4.488143	0.001
5.111599	4.948299	0.001
4.343985	4.158858	0.001
4.130569	4.102862	0.001
2.558235	1.266530	0.001
3.558576	3.108048	0.001
2.206017	1.827319	0.001
1.664019	2.925790	0.001
3.537059	3.689730	0.001
3.238558	2.752802	0.001
3.897640	3.537059	0.001
4.158858	3.387809	0.001
3.345311	3.873595	0.001
3.921984	3.515612	0.001
3.803049	4.075694	0.001
2.995615	3.430307	0.001
2.587840	1.751117	0.001
2.066627	2.066627	0.001
3.515612	4.187778	0.001
3.826318	3.558576	0.001
1.895405	1.561453	0.001
2.972569	1.895405	0.001
2.803960	3.324038	0.001
3.712040	3.366565	0.001
2.699924	2.362219	0.001
3.302736	3.601858	0.001
2.162182	2.325588	0.001
4.187778	4.343985	0.001
3.667570	3.757162	0.001
3.366565	2.803960	0.001
4.378096	4.049024	0.001
